,name,address,categories,id
110,Tonnelle Avenue Parking,,parking,OSMway-27105705
111,NJ Transit Operations Employee Parking Lot,,parking,OSMway-27106113
112,Community Garden,,allotments,OSMway-27110083
113,South Garage,,parking,OSMway-27110661
114,JCPenney,,department_store,OSMway-27110663
115,Newport Mall,,retail;mall,OSMway-27110664
116,Macy's,,department_store,OSMway-27110665
117,Kohl's,,department_store,OSMway-27110667
118,Sears,,department_store,OSMway-27110668
119,North Garage,,parking,OSMway-27110669
120,West Garage,,parking,OSMway-27110670
121,Marina Park and Garden,,park,OSMway-27110682
122,Newport Welcome Garden,,park,OSMway-27110683
123,DTCC,Newport Office Center VI ,commercial,OSMway-27110689
124,Target,100 14th Street ,department_store,OSMway-27111256
125,Town Square,,park,OSMway-27111275
126,Courtyard Jersey City Newport,Jersey City 540 Washington Boulevard ,hotel;hotel,OSMway-27111276
127,DoubleTree,,hotel,OSMway-27111277
128,The Westin Jersey City Newport,Jersey City 479 Washington Boulevard ,hotel;hotel,OSMway-27111278
129,BJ's Wholesale Club,396 Marin Boulevard ,wholesale,OSMway-27111279
130,ShopRite,400 Marin Boulevard ,supermarket,OSMway-27111280
131,Bed Bath & Beyond,Jersey City Marin Boulevard ,retail,OSMway-27111281
132,VYV Apartments,Jersey City 474 Warren Street ,apartments,OSMway-27111282
133,Harborside Plaza 1-3,,yes,OSMway-27150748
134,Baker Waterfront Plaza ,2 Hudson Place ,yes,OSMway-27151976
135,W Hotel,,hotel,OSMway-27151977
136,Saint Peter's Cemetery,,cemetery,OSMway-27166982
137,Washington Park,,park,OSMway-27458948
138,Pershing Field,,park,OSMway-27459055
139,Terrace Avenue Park,,park,OSMway-27459093
140,Elsworth Park,,park,OSMway-27459148
141,Ellis Island,,park;coastline;islet,OSMway-27459262
142,Enos Jones Park,,park,OSMway-27459282
143,Mary Benson Park,,park,OSMway-27459283
144,Lincoln Park,,park,OSMway-27459348
145,Holy Name Cemetery,,grave_yard;cemetery,OSMway-27459350
146,Cochrane Field,,park,OSMway-27459371
147,Liberty National Golf Club,,golf_course,OSMway-27459421
148,Audubon Park,,park,OSMway-27459448
149,Thomas M. Gerrity Athletic Complex,,park,OSMway-27459456
150,Mary Benson Park,,park,OSMway-27459485
151,Lafayette Park,,park,OSMway-27459499
152,Arlington Park,,park,OSMway-27459519
153,The Oaks (Skate Park),,pitch;skateboard,OSMway-27459574
154,North Hudson Park,,park,OSMway-27459755
155,St Peters Field,,pitch,OSMway-27459780
156,Paulus Hook Park,,park,OSMway-27459781
157,Roberto Clemente Baseball Field,,pitch,OSMway-27463108
158,Grove Church Cemetery,,cemetery,OSMway-27463426
159,Bayview Cemetery,,grave_yard;cemetery,OSMway-27478719
160,New York Bay Cemetery,,grave_yard;cemetery,OSMway-27478720
161,Flower Hill Cemetery,North Bergen 5433 John F. Kennedy Boulevard ,cemetery,OSMway-27478776
162,Jersey City Cemetery,,cemetery,OSMway-27479303
163,Hoboken Cemetery,North Bergen 5500 Tonnelle Avenue ,cemetery,OSMway-27484884
164,Macphelah Cemetery,North Bergen 5810 Tonnelle Avenue ,cemetery,OSMway-27484886
165,Laurel Hill County Park,,park,OSMway-27524613
166,Veterans Field,,pitch,OSMway-27531641
167,JFK Stadium,,stadium,OSMway-27531691
168,Weehawken Stadium,,recreation_ground,OSMway-28089987
169,Fairview Cemetery,,grave_yard;cemetery,OSMway-28102772
170,1,,pitch,OSMway-28709231
171,2,,pitch,OSMway-28709255
172,3,,pitch,OSMway-28709263
173,5,,pitch,OSMway-28709267
174,6,,pitch,OSMway-28739265
175,7,,pitch,OSMway-28739271
176,4,,pitch,OSMway-28739276
177,Mount Prospect Park,,park,OSMway-28739394
178,Village Green Recreational Area,,park,OSMway-28962262
179,Village Green Memorial Day Statue,,park,OSMway-28962264
180,Village Green Public Art,,park,OSMway-28962266
181,Village Green Public Art,,park,OSMway-28962267
182,Summit Parking Lot #13,,parking,OSMway-29101283
183,Summit Post Office,Summit 61 Maple Street ,post_office,OSMway-29101320
184,Smallpox Hospital,,ruins,OSMway-29185374
185,IKEA,Elizabeth 1000 Ikea Drive ,retail;furniture,OSMway-29416243
186,North Woodmere Golf Course,,golf_course,OSMway-30427647
187,Douglaston Golf Course,Douglaston 6320 Marathon Pkwy ,golf_course,OSMway-30432711
188,The Seawane Club,,golf_course,OSMway-30471672
189,Christopher Park,,park,OSMway-30657456
190,Sheridan Square Garden,,park,OSMway-30657462
191,Stuyvesant Cove Park,,park,OSMway-31009822
192,Lowry Triangle,,park,OSMway-31974378
193,PS 9 Sarah Smith Garnet School,80 Underhill Avenue ,school,OSMway-31974450
194,Beth David Cemetery,300 Elmont Road ,cemetery,OSMway-32137837
195,Denton Avenue School,,school,OSMway-32139184
196,Green Acres Mall,,retail,OSMway-32197924
197,Roosevelt Island Tramway,,station;station,OSMway-32946753
198,Roosevelt Island Tramway,,station;station,OSMway-32946762
199,Asphalt Green,,pitch,OSMway-32960055
200,Statue of Liberty,,park;attraction,OSMway-32965412
201,Crown Cafe,Liberty Island ,cafe,OSMway-32965685
202,National Park Service,,yes;government,OSMway-32965687
203,Bridge Park 2,,recreation_ground,OSMway-33406924
204,Willowbrook Park,,park,OSMway-33725908
205,East River Esplanade,,park,OSMway-33804388
206,Asser Levy Playground,,park,OSMway-33804405
207,Marsha P. Johnson State Park,Brooklyn 90 Kent Avenue ,park,OSMway-33819583
208,Grand Ferry Park,,park,OSMway-33819586
209,Monsignor McGolrick Park,Brooklyn ,park,OSMway-33819642
210,Brookfield Park,,park,OSMway-33870094
211,La Tourette Park,,park,OSMway-33870127
212,High Rock Park,,park,OSMway-33870257
213,Richmond Parkway,,park,OSMway-33870419
214,Richmond County Country Club,,golf_course,OSMway-33871112
215,Barrett Park Staten Island Zoo,,zoo,OSMway-33871910
216,Silver Lake Golf Course,,golf_course,OSMway-33872010
217,Silver Lake Park,,park,OSMway-33872129
218,Miller Field,,park,OSMway-33872463
219,Bloomingdale Park,,park,OSMway-33873634
220,Deere Park,,park,OSMway-33899108
221,Snug Harbor Cultural Center and Botanical Garden,,park,OSMway-33900027
222,Allison Park,,park,OSMway-33900117
223,South Shore Golf Course,,golf_course,OSMway-33900582
224,Fort Wadsworth,,park,OSMway-33967409
225,Arthur von Briesen Park,,park,OSMway-33967953
226,Ocean Breeze Park,,park,OSMway-33969722
227,Arbutus Woods Park,,park,OSMway-33971542
228,Mariner's Marsh Park,,nature_reserve,OSMway-33971686
229,Conference House Park,,forest;park,OSMway-33972093
230,Joline Pool Playground,,sports_centre;swimming,OSMway-33972179
231,Kaufmann Camp,,recreation_ground,OSMway-33972898
232,Staten Island University Hospital,Staten Island 475 Seaview Avenue ,hospital;hospital,OSMway-33991436
233,Staten Island Children and Youth Day Treatment Center and South Beach Psychiatric Center,Staten Island 777 Seaview Avenue ,hospital;hospital,OSMway-33992484
234,St. John's University,,university,OSMway-33992941
235,Stephen R. Gregg Bayonne Park,,park,OSMway-33994333
236,Moravian Cemetery,,cemetery,OSMway-33994833
237,Ocean View Cemetery,,cemetery,OSMway-33995058
238,Kingfisher Park,,park,OSMway-33996212
239,La Tourette Golf Course,Staten Island 1001 Richmond Hill Road ,golf_course;golf,OSMway-34103900
240,Wegener Park,,park,OSMway-34155898
241,Laredo Avenue Parcel,,nature_reserve,OSMway-34155927
242,Richmond Parkway,,forest,OSMway-34156030
243,Lemon Creek Park,,recreation_ground;park,OSMway-34156132
244,Meredith Woods,,nature_reserve,OSMway-34156821
245,Graniteville Swamp Park,,nature_reserve,OSMway-34158045
246,Father Macris Park,,park,OSMway-34158150
247,Larry De Young Field,,park,OSMway-34196661
248,Eibs Pond Park,,nature_reserve,OSMway-34196841
249,Luis R Lopez Playground,,park,OSMway-34196973
250,Brady's Pond Park,,forest;park,OSMway-34197002
251,South Beach Wetlands,,meadow;nature_reserve,OSMway-34197271
252,Midland Field,,park,OSMway-34197465
253,Midland Playground,,playground,OSMway-34197469
254,MacArthur Park,,park,OSMway-34197665
255,Last Chance Pond Park,,nature_reserve,OSMway-34197667
256,Hero Park,,park,OSMway-34198728
257,Woodland Cemetery,,cemetery,OSMway-34198779
258,Baron Hirsch Cemetery,,cemetery,OSMway-34198834
259,Richmond County Bank Ballpark at Saint George,,stadium;baseball,OSMway-34412409
260,Bayonne Golf Club,,golf_course,OSMway-34414788
261,Empire State Building,New York 350 5th Avenue ,office;attraction,OSMway-34633854
262,Co-Cathedral of St. Joseph,,place_of_worship,OSMway-34813205
263,Tottenville High School,,school,OSMway-34858403
264,Walker Park,,park,OSMway-34900188
265,Staten Island Mall,,retail,OSMway-34900284
266,Public School 58,,school,OSMway-34900321
